SCHOOL,PROGRAM,DEGREE,ONLINE,ONCAMPUS,COUNTRY,STATE,CITY,DEPARTMENT,URL
University of Massachusetts Amherst,MS with Data Science Concentration,M,F,T,US,MA,Amherst,College of Information and Computer Sciences,https://ds.cs.umass.edu/proposed-masters-concentration-data-science
University of Massachusetts Amherst,Certificate in Data Science,C,F,T,US,MA,Amherst,College of Information and Computer Sciences,https://ds.cs.umass.edu/academics/certificate-data-science
Worcester Polytechnic Institute,Data Science,D,F,T,US,MA,Worcester,Data Science,http://www.wpi.edu/academics/datascience/phd-program.html
Worcester Polytechnic Institute,Data Science,B,F,T,US,MA,Worcester,Data Science,http://www.wpi.edu/academics/datascience/bsms-program.html
Worcester Polytechnic Institute,Graduate Certificate in Data Science,C,F,T,US,MA,Worcester,Data Science,http://www.wpi.edu/academics/datascience/certificate-program.html
Worcester Polytechnic Institute,Master of Science in Data Science,M,F,T,US,MA,Worcester,Data Science,http://www.wpi.edu/academics/datascience/degree-requirements.html
Johns Hopkins University,Bioinformatics,M,F,T,US,MD,,,http://advanced.jhu.edu/academic/biotechnology/ms-in-bioinformatics/
Johns Hopkins University,Master of Science in Geographic Information Systems,M,T,T,US,MD,Baltimore,Krieger School of Arts & Sciences,http://advanced.jhu.edu/academics/graduate-degree-programs/geographic-information-systems/
Johns Hopkins University,Master of Science in Information Systems,M,F,T,US,MD,Baltimore,Carey Business School,http://carey.jhu.edu/academics/master-of-science/ms-in-information-systems/
Notre Dame of Maryland University,Master of Science in Analytics in Knowledge Management,M,F,T,US,MD,Baltimore,College of Arts and Sciences,http://catalog.ndm.edu/graduate/artsandsciences/knowledgemanagementprogram/
University of Maryland-Baltimore County,Master of Science in Information Systems,M,T,F,US,MD,Baltimore,Department of Information Science,http://onlinems.umbc.edu/
University of Maryland-College Park,Master of Information Management,M,F,T,US,MD,College Park,College of Information Studies,http://ischool.umd.edu/mim
University of Maryland-College Park,Online MBA - Specialization in Information Systems & Business Analytics,M,F,T,US,MD,College Park,Robert H. Smith School of Business,http://onlinemba.umd.edu/
University of Maryland-College Park,"MS in Business, Marketing Analytics",M,T,F,US,MD,College Park,Robert H. Smith School of Business,http://www.rhsmith.umd.edu/ms/analytics/
University of Maryland-University College,Master of Science in Data Analytics,M,F,T,US,MD,Adelphi,University of Maryland University College Graduate School,http://www.umuc.edu/academic-programs/masters-degrees/data-analytics.cfm
Baker College,MBA in Business Intelligence,M,F,T,US,MI,Allen Park,Baker College,http://www.baker.edu/programs-degrees/business-intelligence-master-ba/
Central Michigan University,Data Mining,C,F,T,US,MI,,Mathematics,https://www.cmich.edu/colleges/cgs/landing_pages/Pages/Graduate-Certificate-Data-Mining.aspx
Central Michigan University,Applied Statistics and Analytics,M,F,T,US,MI,,Mathematics,https://www.cmich.edu/colleges/cst/math/Pages/Master-of-Science-in-Applied-Statistics-and-Analytics.aspx
Davenport University,Master of Science in Health Informatics and Information Management,M,T,F,US,MI,Grand Rapids,College of Health Professions,http://www.davenport.edu/college-health-professions/programs-and-degrees/master-science-informatics-and-information-
Eastern Michigan University,Master of Arts in Applied Statistics,M,T,F,US,MI,Ypsilanti,Department of Mathematics,http://catalog.emich.edu/preview_program.php?catoid=12&poid=6396
Eastern Michigan University,Enterprise Business Intelligence specialization in the Master of Business Administration (MBA),M,F,T,US,MI,Ypsilanti,College of Business; Computer Information Systems Department,http://www.emich.edu/cob/departments_centers/computer_information_systems.php
Grand Valley State University,Master of Science in Biostatistics,M,T,F,US,MI,Allendale,College of Liberal Arts and Sciences,http://catalog.gvsu.edu/preview_program.php?catoid=38&poid=5264&hl=%22master+of+science+in+biostatistics%22&returnto=search
Michigan State University,M.S. - Business Analytics,M,F,T,US,MI,East Lansing,Broad College of Business,http://broad.msu.edu/businessanalytics/
Michigan State University,Master of Science in Applied Statistics,M,T,F,US,MI,East Lansing,Department of Statistics and Probability (College of Natural Sciences),https://www.reg.msu.edu/academicprograms/ProgramDetail.asp?Program=3871
Michigan Technological University,Master of Science Degree in Integrated Geospatial Technology,M,T,T,US,MI,Houghton,School of Technology,http://www.mtu.edu/gradschool/programs/degrees/geospatial/
Oakland University,MS in Applied Statistics,M,T,F,US,MI,Rochester Hills,Department of Mathematics and Statistics,http://www.oakland.edu/?id=7773&sid=229
Oakland University,Master of Science in Information Technology Management in Business Analytics,M,F,T,US,MI,Rochester Hills,School of Business Administration,http://www.oakland.edu/MSITM-BA
University of Michigan-Ann Arbor,Graduate Data Science (DS) Certificate Program,C,T,F,US,MI,Ann Arbor,Trans-Disciplinary,http://midas.umich.edu/certificate/
University of Michigan-Ann Arbor,Data Science,B,F,T,US,MI,Ann Arbor,EECS,https://www.eecs.umich.edu/eecs/undergraduate/data-science/
University of Michigan-Dearborn,Master of Science in Business Analytics,M,F,T,US,MI,Dearborn,College of Business,http://umdearborn.edu/cob/ms-business-analytics/
Capella University,Business Intelligence Specialization Post-Baccalaureate Certificate,C,F,T,US,MN,Minneapolis,School of Business and Technology,http://www.capella.edu/online-degrees/certificate-business-intelligence/accreditations
Capella University,MBA in Business Intelligence,M,F,T,US,MN,Minneapolis,School of Business & Technology,http://www.capella.edu/online-degrees/mba-business-intelligence/
Capella University,MS in Analytics,M,T,F,US,MN,Minneapolis,School of Business & Technology,http://www.capella.edu/online-degrees/masters-analytics/
The College of Saint Scholastica,M.S. Health Informatics,M,T,F,US,MN,Duluth,Health Informatics Program,http://www.css.edu/Graduate/Masters-Doctoral-and-Professional-Programs/Areas-of-Study/MS-Health-Informatics/Curriculum.html?ss=print
University of Minnesota,Business Analytics,M,F,T,US,MN,,Business,http://carlsonschool.umn.edu/degrees/master-science-business-analytics
University of Minnesota-Duluth,Master of Science in Business Analytics,M,F,T,US,MN,Duluth,Carlson School of Management,http://carlsonschool.umn.edu/degrees/master-science-in-business-analytics
University of St. Thomas,M.S. in Data Science,M,F,T,US,MN,Saint Paul,Graduate Programs in Software,http://www.stthomas.edu/gradsoftware/programs/msdatascience/default.html
Winona State University,Data Science,B,F,T,US,MN,Winona,Department of Mathematics and Statistics,http://www.winona.edu/data-science/
Grantham University,Master of Science in Business Intelligence,M,T,F,US,MO,Kansas City,Business,http://rmi.grantham.edu/programs/master-of-science-in-business-intelligence
Missouri University of Science and Technology,Graduate Certificate in Business Analytics and Data Science,C,T,F,US,MO,Rolla,Department of Business and Information Technology,http://dce.mst.edu/credit/certificates/businessanalyticsanddatascience/
Rockhurst University,Data Science and Business Analytics Certificate,C,T,T,US,MO,Kansas City,Helzburg School of Management,http://www.rockhurst.edu/media/filer_private/2013/12/06/helzberg_ds_certificates_w-course_descriptions.pdf
Rockhurst University,Business Intelligence and Analytics,M,F,T,US,MO,Kansas City,Helzburg School of Management,http://www.rockhurst.edu/helzberg-school-of-management/msbia/
Saint Louis University,Health Data Science,M,T,F,US,MO,Saint Louis,Center For Outcomes Research,http://www.slu.edu/medicine/slucor/education-and-training/ms-in-health-data-science
Saint Louis University-Main Campus,Applied Analytics Master's Degree,M,T,F,US,MO,Saint Louis,School for Professional Studies,http://www.slu.edu/school-for-professional-studies-home/majors-and-programs/masters-degree-programs/ms-in-applied-analytics
University of Missouri-St Louis,Graduate Certificate in Business Intelligence,C,F,T,US,MO,Saint Louis,Information Systems Department,http://mis.umsl.edu/M.S.%20in%20I.S./BICertificate.html
University of Montana,Certificate in Big Data Analytics,C,F,T,US,MT,Missoula,Data Science,http://www.umt.edu/datascience/study-big-data.php
Elon University,Information Science,B,F,T,US,NC,Elon,Computing Sciences,http://www.elon.edu/e-web/academics/elon_college/computing_sciences/curriculum/bsis.xhtml
North Carolina State University at Raleigh,Master of Science in Analytics,M,F,T,US,NC,Raleigh,Institute for Advanced Analytics,http://analytics.ncsu.edu/
University of North Carolina at Chapel Hill,Graduate Certificate in Public Health Informatics,C,F,T,US,NC,Chapel Hill,Gillings School of Global Public Health and School of Information and Libra,http://sph.unc.edu/hpm/hpm-degrees-and-certificates/hpm-phi-overview/
University of North Carolina at Charlotte,Professional Science Master's (PSM) in Data Science and Business Analytics (DSBA),M,F,T,US,NC,Charlotte,The Graduate School,http://analytics.uncc.edu/
University of North Carolina at Charlotte,Graduate Certificate in Data Science and Business Analytics,C,F,T,US,NC,Charlotte,College of Computing and Informatics and the Belk College of Business,http://analytics.uncc.edu/graduate-certificate
University of North Carolina at Charlotte,Graduate Certificate in Health Informatics,C,F,T,US,NC,Charlotte,"College of Computing and Informatics, College of Health and Human Serv",http://hi.uncc.edu/graduate-certificate
University of North Carolina at Charlotte,M.S. in Mathematics with Concentration in Applied Statistics,M,F,T,US,NC,Charlotte,Department of Mathematics and Statistics,http://math.uncc.edu/graduate-program/master-science-degree-concentration-applied-statistics
University of North Carolina at Greensboro,Graduate Certificate in Business Analytics,C,F,T,US,NC,Greensboro,UNCG Bryan School of Business and Economics,http://bae.uncg.edu/isscm/graduate/certificates/graduate-certificate-in-business-analytics-2/
"University of North Carolina, Charlotte",Computing and Information Systems,D,F,T,US,NC,,Computing and Informatics,https://cci.uncc.edu/academic-programs/phd
Bellevue University,Master of Science-Business Analytics,M,T,F,US,NE,Bellevue,College of Science and Technology,http://www.bellevue.edu/degrees/graduate/business-analytics-ms/major-requirements.aspx
Bellevue University,Master of Professional Science in Technology Innovation with Focus in Bioinformatics,M,F,T,US,NE,Bellevue,College of Science and Technology,http://www.bellevue.edu/degrees/graduate/innovation-entrepreneurship-mps/major-requirements.aspx
Creighton University,Master of Science in Business Intelligence and Analytics (MS-BIA),M,F,T,US,NE,Omaha,Heider College of Business,http://business.creighton.edu/graduate/graduate-programs/master-science-business-intelligence-and-analytics-ms-bia
Creighton University,Master of Science in Data Science,M,F,T,US,NE,Omaha,College of Professional Studies,https://academics.creighton.edu/program/data-science-master-science-ms
Nebraska College of Technical Agriculture,Business Analytics Graduate Certificate,C,F,T,US,NE,Curtis,College of Business Administration,http://news.unl.edu/newsrooms/unltoday/article/cba-to-offer-business-analytics-program/
University of Nebraska at Omaha,Data Science Concentration,B,F,T,US,NE,Omaha,Mathematics,http://www.unomaha.edu/college-of-arts-and-sciences/mathematics/academics/undergraduate.php#data
University of Nebraska at Omaha,Data Science Concentration,M,F,T,US,NE,Omaha,Mathematics,http://www.unomaha.edu/college-of-arts-and-sciences/mathematics/community-engagement/data-science.php
Southern New Hampshire University,Master of Science in Data Analytics,M,T,F,US,NH,Manchester,Graduate,http://www.snhu.edu/online-degrees/graduate-degrees/data-analytics-ms-online/careers.asp
Southern New Hampshire University,MS in Information Technology - Healthcare Informatics,M,T,F,US,NH,Manchester,School for Professional Studies,http://www.snhu.edu/online-degrees/graduate-degrees/information-technology-MS-online/health-Informatics.asp
Southern New Hampshire University,MBA in Business Intelligence,M,T,F,US,NH,Manchester,,http://www.snhu.edu/online-degrees/graduate-degrees/MBA-online/business-intelligence-curriculum.asp
Southern New Hampshire University,Data Analytics,B,T,F,US,NH,,,http://www.snhu.edu/online-degrees/undergraduate-degrees/data-analytics-bs-online.asp
New Jersey Institute of Technology,MS in Applied Statistics,M,T,F,US,NJ,Newark,Department of Mathematical Sciences,http://math.njit.edu/academics/graduate/ms-appliedstatistics/index.php
New Jersey Institute of Technology,Graduate Certificate in Data Mining,C,T,F,US,NJ,Newark,Department of Computer Science,http://online.njit.edu/programs/certs/datamining-cert.php
Rutgers University,Online Master of Information,M,T,F,US,NJ,Camden,School of Communication and Information,http://online.rutgers.edu/master-library-info/
Rutgers University,Master of Business And Science Degree in Analytics - Discovery Informatics & Data Sciences,M,F,T,US,NJ,Camden,Division of Continuous Education and Outreach,http://psm.rutgers.edu/programs/analytics-data-sciences
Rutgers University,Post MBA Certificate in Analytics and Information Management,C,F,T,US,NJ,Camden,Rutgers Business School,http://www.business.rutgers.edu/mba/admissions/post-mba-certificate
Rutgers University,MBA with Analytics and Information Management Concentration,M,F,T,US,NJ,Camden,Rutgers Business School,http://www.business.rutgers.edu/mba/concentrations/aim
Saint Peter's University,Master of Science in Data Science with a concentration in Business Analytics,M,T,F,US,NJ,Jersey City,Saint Peter's University,http://www.saintpeters.edu/data-science-and-business-analytics/
Stevens Institute of Technology,MS in Business Intelligence and Analytics,M,T,F,US,NJ,Hoboken,Graduate School,http://www.stevens.edu/sit/graduate/master-of-science-business-intelligence-and-analytics.cfm
Stevens Institute of Technology,BI&A Graduate Certificate,C,F,T,US,NJ,Hoboken,Wesley J. Howe School of Technology Management,https://www.stevens.edu/howe/academics/graduate/business-intelligence-analytics-bi-ms/bi-graduate-certificate
Stevens Institute of Technology,Master of Science in Information Systems,M,T,F,US,NJ,Hoboken,Wesley J. Howe School of Technology Management,https://www.stevens.edu/howe/academics/graduate/information-systems
Thomas Edison State College,MBA in Data Analytics,M,F,T,US,NJ,Trenton,School of Business & Management,http://www.tesc.edu/business/mba/Data-Analytics.cfm
University of Nevada-Reno,Information Systems Data Analytics Track,M,F,T,US,NV,Reno,,http://www.unr.edu/business/degree-programs/information-systems/msis#dataanalyticstrack
Columbia University in the City of New York,MS - Masters in Data Science,M,F,T,US,NY,New York,Institute for Data Sciences and Engineering,http://idse.columbia.edu/masters
Columbia University in the City of New York,Master of Arts in Statistics,M,F,T,US,NY,New York,School of Continuing Education,http://quants.columbia.edu/statistics/masters-program-overview
Columbia University in the City of New York,"Masters of Science in Computer Science, concentration in Machine Learning",M,T,T,US,NY,New York,Fu Foundation School of Engineering and Applied Science,http://www.cs.columbia.edu/education/ms/machineLearning
Cornell University,Master of Science in Health Informatics,M,F,T,US,NY,Ithaca,Cornell Medial College,http://hpr.weill.cornell.edu/education_and_training/MS_Health_Informatics_curriculum.html
Cornell University,Master of Professional Studies (MPS) in Applied Statistics (Option II: Data Science),M,F,T,US,NY,Ithaca,Department of Statistical Science,http://stat.cornell.edu/academics/mps
Cornell University,Data Analytics,M,F,T,US,NY,,Engineering,http://www.orie.cornell.edu/orie/academics/master/index.cfm
CUNY Bernard M Baruch College,Advanced Certificate in Business Analytics of Large-Scale Data,C,F,T,US,NY,New York,School of Business,http://www.csi.cuny.edu/catalog/graduate/advanced-certificate-in-business-analytics-of-large-scale-data.htm
CUNY Graduate School and University Center,Online Master of Science in Data Analytics,M,F,T,US,NY,New York,CUNY School of Professional Studies,http://sps.cuny.edu/programs/ms_dataanalytics
CUNY Queens College,MA in Data Analytics & Applied Social Research,M,T,F,US,NY,Flushing,Sociology Department,http://qcbigdata.com/program/
Fordham University,Master of Science in Business Analytics,M,F,T,US,NY,Bronx,Graduate School of Business,http://www.bnet.fordham.edu/academic_bulletin/2015/ms/MS_Business_Analytics/index.asp
Keller Graduate School of Management,MBA with a Business Intelligence and Analytics Management Concentration,M,F,T,US,NY,New York,Keller Graduate School of Management,http://keller.edu/graduate-degree-programs/mba-program/business-intelligence-mba.html
Marist College,Advanced Certificate in Business Analytics,C,T,F,US,NY,Poughkeepsie,School of Computer Science and Mathematics,http://www.marist.edu/admission/graduate/business-analytics/
New York University,Master of Science in Data Science,M,T,F,US,NY,New York,NYU Center for Data Science,http://cds.nyu.edu/academics/ms-in-data-science/
New York University,Advanced Certificate in Applied Urban Science and Informatics,C,F,T,US,NY,New York,Center for Urban Science & Progress,http://cusp.nyu.edu/advanced-certificate-in-applied-urban-science-and-informatics/
New York University,MS in Applied Urban Science and Informatics,M,T,T,US,NY,New York,Center for Urban Science & Progress,http://cusp.nyu.edu/ms-in-applied-urban-science-and-informatics/
New York University,Master of Science in Applied Statistics for Social Science Research,M,T,F,US,NY,New York,"Steinhardt School of Culture, Education, and Human Development: D",http://steinhardt.nyu.edu/graduate_admissions/guide/assr/ms
New York University,Certificate in Healthcare Informatics,C,T,F,US,NY,New York,School of Professional Studies: Management and Information Technology,http://www.scps.nyu.edu/academics/departments/information-technology/academic-offerings/noncredit/certificate-in-healthcare-informatics.html
New York University,"MBA, Specialization in Business Analytics",M,T,F,US,NY,New York,Stern School of Business,http://www.stern.nyu.edu/programs-admissions/full-time-mba/academics/specializations/business-analytics/index.htm
New York University,Master of Science in Business Analytics,M,T,F,US,NY,New York,Stern School of Business,http://www.stern.nyu.edu/programs-admissions/global-degrees/business-analytics/academics/course-index/
New York University,Master of Science in Information Systems,M,F,T,US,NY,New York,Computer Science Department,https://cs.nyu.edu/webapps/content/academic/graduate/msis
New York University,Applied Data Analytics and Visualization,B,F,T,US,NY,New York,School of Professional Studies,http://www.sps.nyu.edu/academics/departments/mcghee/undergraduate/bs-applied-data-analytics-and-visualization.html
Pace University-New York,MS in Customer Intelligence and Analytics,M,T,F,US,NY,New York,Lubin School of Business,http://www.pace.edu/lubin/ms-in-customer-intelligence-analytics
Pace University-New York,Master of Science in Information Systems,M,T,F,US,NY,New York,Seidenberg School of Computer Science and Information Systems,http://www.pace.edu/seidenberg/ms-in-information-systems
Rensselaer Polytechnic Institute,MS in Business Analytics,M,F,T,US,NY,Troy,Lally School of Management,http://lallyschool.rpi.edu/academics/ms_ba.html
Rensselaer Polytechnic Institute,M.S. in Information Technology - Concentration in Data Science and Analytics,M,F,T,US,NY,Troy,Department of Information Technology & Web Science,https://www.rpi.edu/dept/IT/graduate/Masters.html
St. John's University-New York,Master of Science in Data Mining and Predictive Analytics,M,F,T,US,NY,Queens,"Department of Computer Science, Mathematics, and Science",http://www.stjohns.edu/academics/schools-and-colleges/college-professional-studies/programs-and-majors/data-mining-and-predictive-analytics-master-science
Syracuse University,Certificate of Advanced Study in Data Science,C,T,F,US,NY,Syracuse,School of Information Studies,http://ischool.syr.edu/future/cas/datascience.aspx
The New School,Data Visualization (MS),M,T,F,US,NY,New York,"School of Art, Media & Technology",http://www.newschool.edu/parsons/ms-data-visualization/
Trocaire College,Certificate in Healthcare Informatics,C,T,F,US,NY,Buffalo,Healthcare Informatics,https://www.trocaire.edu/academics/healthcare-informatics/healthcare-informatics-certificate
Union Graduate College,Master of Science in Healthcare Data Analytics,M,T,F,US,NY,Schenectady,School of Management,http://www.uniongraduatecollege.edu/management/MS-Healthcare.aspx
University at Buffalo,Master of Science (MS) in Management Science: Business Analytics and Systems from the State University of New York at Buffalo and a Master of Business,M,T,F,US,NY,Buffalo,University at Buffalo School of Management and Amrita University,http://mgt.buffalo.edu/faculty/academic/systems/business-analytics-amrita
University of Rochester,Professional MS in Computer Science (Concentration in Data Analytics),M,F,T,US,NY,Rochester,Department of Computer Science,http://www.cs.rochester.edu/graduate/masters-program.html
University of Rochester,Data Science,B,F,T,US,NY,,Interdisciplinary,http://www.rochester.edu/data-science/academics/index.html
University of Rochester,Master of Science in Data Science,M,F,T,US,NY,Rochester,Institute for Data Science,http://www.rochester.edu/data-science/degrees/MSdetails.html
University of Rochester,MS in Business Administration (Concentration in Business Analytics),M,F,T,US,NY,Rochester,Simon School of Business,http://www.simon.rochester.edu/programs/full-time-ms/academics/programs/business-analytics/index.aspx
University of Rochester,MA and MS in Medical Statistics,M,F,T,US,NY,Rochester,Department of Biostatistics and Computational Biology,http://www.urmc.rochester.edu/education/graduate/phd/statistics/
Bowling Green State University,Master of Science in Applied Statistics (specialization in Business Analytics),M,F,T,US,OH,Bowling Green,Department of Applied Statistics & Operations Research/Department of Mathem,http://www.bgsu.edu/business/asor/graduateprograms.html
Bowling Green State University,M.S. in Analytics,M,F,T,US,OH,Bowling Green,Graduate College,http://www.bgsu.edu/graduate/analytics.html
Case Western Reserve University,Systems Biology and Informatics,D,F,T,US,OH,Cleveland,Molecular and Computational Biology,http://bioinformatics.case.edu/
Case Western Reserve University,Health Informatics,M,F,T,US,OH,Cleveland,Case School of Engineering,http://engineering.case.edu/eecs/node/466
Case Western Reserve University,Data Science,B,F,T,US,OH,Cleveland,Data Science,http://datascience.case.edu/
Cleveland State University,Graduate Certificate in Strategic Business Analytics,C,T,F,US,OH,Cleveland,Monte Ahuja College of Business,http://www.csuohio.edu/business/academics/business-analytics-graduate-certificate-programs
Cleveland State University,Graduate Certificate in Advanced Business Analytics,C,T,F,US,OH,Cleveland,Monte Ahuja College of Business,http://www.csuohio.edu/business/academics/business-analytics-graduate-certificate-programs
Miami University of Ohio,Business Analytics Minor,B,F,T,US,OH,,Business,http://miamioh.edu/academics/majors-minors/minors/business-analytics.html
Miami University of Ohio,I.S. and Analytics,B,F,T,US,OH,,Business,http://miamioh.edu/fsb/academics/isa/academics/majors/co-major/index.html
Notre Dame College,Certificate in Competitive Business Intelligence,C,F,T,US,OH,Cleveland,Notre Dame College Online,http://online.notredamecollege.edu/programs/certificate-in-competitive-business-intelligence/
Ohio State University-Main Campus,Master of Public Health in Biomedical Informatics,M,T,F,US,OH,Columbus,College of Medicine,http://medicine.osu.edu/bmi/education/prospective_students/ms-and-mph-degrees/pages/index.aspx
Ohio State University-Main Campus,Master of Applied Statistics,M,F,T,US,OH,Columbus,Department of Statistics,http://www.stat.osu.edu/dept/descriptions-programs/master-applied-statistics/quarters
The Ohio State University,Data Analytics,B,F,T,US,OH,,Interdisciplinary,https://data-analytics.osu.edu/
University of Cincinnati-Main Campus,Master of Science in Health Informatics,M,T,T,US,OH,Cincinnati,College of Allied Health Sciences,http://mshi.uc.edu/
University of Cincinnati-Main Campus,Master of Science in Business Analytics,M,F,T,US,OH,Cincinnati,Lindner College of Business,https://business.uc.edu/programs/graduate/msbana.html
Oklahoma State University Center for Health Sciences,Graduate Certificate in Business Data Mining,C,F,T,US,OK,Tulsa,Watson Graduate School of Management,http://watson.okstate.edu/datamining/program/
Oklahoma State University Center for Health Sciences,Graduate Certificate in Marketing Analytics,C,T,F,US,OK,Tulsa,Watson Graduate School of Management,http://watson.okstate.edu/marketinganalytics/program/
Southwestern Oklahoma State University,M.S. Healthcare Informatics & Information Management,M,T,F,US,OK,Weatherford,Allied Health,http://www.swosu.edu/academics/him/programs/graduate/curriculum.aspx
University of Oklahoma Norman Campus,Master of Science in Engineering - Data Science and Analytics Emphasis,M,F,T,US,OK,Norman,College of Engineering,http://www.ou.edu/coe/datascience.html
University of Oklahoma Norman Campus,MS in Management Information Systems,M,F,T,US,OK,Norman,Division of Management Information Systems,http://www.ou.edu/price/mis/mis_ms_in_mis.html
Oregon State University,MBA in Business Analytics,M,F,T,US,OR,Corvallis,College of Business,http://business.oregonstate.edu/mba/academics/tracks/business-analytics
Albright College,M.S. in Business Intelligence,M,F,T,US,PA,Reading,Erivan K. Haub School of Business,http://www.albright.edu/accelerated/masters-degree-articulations.html
Carnegie Mellon University,Master of Computational Data Science (MCDS),M,F,T,US,PA,Pittsburgh,School of Computer Science,http://mcds.cs.cmu.edu/?q=node/6
Carnegie Mellon University,MBA: Business Analytics Track,M,T,F,US,PA,Pittsburgh,Tepper School of Business,http://tepper.cmu.edu/prospective-students/masters/mba/curriculum/tracks-and-capstones/business-analytics
Carnegie Mellon University,"Master of Information Systems Management, Business Intelligence and Data Analytics (MISM-BIDA)",M,F,T,US,PA,Pittsburgh,Heinz College,http://www.heinz.cmu.edu/school-of-information-systems-and-management/information-technology-msit/curriculum/msit-bida/index.aspx
Carnegie Mellon University,"Master of Science in Information Technology, Business Intelligence and Data Analytics (MSIT-BIDA)",M,F,T,US,PA,Pittsburgh,Heinz College,http://www.heinz.cmu.edu/school-of-information-systems-and-management/information-technology-msit/curriculum/msit-bida/index.aspx
Carnegie Mellon University,Machine Learning,D,F,T,US,PA,Pittsburgh,,http://www.ml.cmu.edu/prospective-students/PhD%20Programs.html
Carnegie Mellon University,Master of Statistical Practice,M,F,T,US,PA,Pittsburgh,Statistics,http://www.stat.cmu.edu/academics/graduate/the-masters-in-statistical-practice-program
Drexel University,Information Studies,D,F,T,US,PA,Philadelphia,Computing and Informatics,http://drexel.edu/cci/academics/graduate-programs/phd-information-studies/
Drexel University,Certificate in Healthcare Informatics,C,F,T,US,PA,Philadelphia,Drexel University's Institute for Healthcare Informatics,http://drexel.edu/cci/programs/professional-development-programs/certificate-in-healthcare-informatics/
Drexel University,Online Master's in Health Informatics,M,T,F,US,PA,Philadelphia,College of Computing and Informatics with support from Drexel University's,http://www.drexel.com/online-degrees/information-sciences-degrees/ms-hci/index.aspx
Drexel University,M.S. in Business Analytics,M,F,T,US,PA,Philadelphia,LeBow College of Business,http://www.lebow.drexel.edu/academics/programs/masters/business-analytics
Harrisburg University of Science and Technology,Online Master of Science in Analytics,M,T,T,US,PA,Harrisburg,Graduate Education,http://www.harrisburgu.edu/academics/graduate/analytics/online-analytics.php
La Salle University,M.S. in Analytics,M,F,T,US,PA,Philadelphia,College of Professional & Continuing Studies,http://www.lasalle.edu/analytics/
Misericordia University,Health Care Informatics Graduate Certificate,C,T,T,US,PA,Dallas,College of Health Sciences,http://www.misericordia.edu/misericordia_pg_sub.cfm?sub_page_id=3990&subcat_id=108&page_id=989
Misericordia University,Health Informatics Master's Program,M,T,F,US,PA,Dallas,College of Health Sciences,http://www.misericordia.edu/misericordia_pg_sub.cfm?sub_page_id=4235&subcat_id=108
Pennsylvania State University,Social Data Analytics,D,F,T,US,PA,University Park,Interdisciplinary,http://bdss.psu.edu/education
Pennsylvania State University,Graduate Certificate in Applied Statistics,C,F,T,US,PA,University Park,Eberly College of Science,http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-certificate/courses
Pennsylvania State University,Master of Applied Statistics,M,T,F,US,PA,University Park,Eberly College of Science,http://www.worldcampus.psu.edu/degrees-and-certificates/applied-statistics-masters/overview
Pennsylvania State University,Graduate Certificate in Business Analytics,C,T,F,US,PA,University Park,Smeal College of Business,http://www.worldcampus.psu.edu/degrees-and-certificates/business-analytics-certificate/overview
Pennsylvania State University,Master of Professional Studies in Data Analytics,M,F,T,US,PA,University Park,Penn State World Campus,http://www.worldcampus.psu.edu/degrees-and-certificates/data-analytics-base/overview
Pennsylvania State University,Master of Professional Studies in Data Analytics,M,F,T,US,PA,University Park,Penn State World Campus,http://www.worldcampus.psu.edu/degrees-and-certificates/data-analytics-business/overview
Pennsylvania State University,Graduate Certificate in Business Analytics,C,F,T,US,PA,University Park,Penn State World Campus,https://www.worldcampus.psu.edu/degrees-and-certificates/business-analytics-certificate/overview
Philadelphia University,"M.S. in Modeling, Simulation and Data Analytics",M,F,T,US,PA,Philadelphia,"Kanbar College of Design, Engineering, and Commerce",http://www.philau.edu/msda/curriculum.html
Saint Joseph's University,Online Master of Science in Business Intelligence & Analytics,M,T,F,US,PA,Philadelphia,Erivan K. Haub School of Business,http://online.sju.edu/programs/business-intelligence-course.asp
Saint Joseph's University,Online Master's in Health Administration: Informatics Specialization,M,F,T,US,PA,Philadelphia,St Joseph's University Online,http://online.sju.edu/programs/masters-health-administration-informatics.asp
Saint Joseph's University,Master of Science in Business Intelligence & Analytics Program,M,T,F,US,PA,Philadelphia,Erivan K. Haub School of Business,http://www.sju.edu/int/academics/hsb/grad/msbi/
Temple University,Master of Science in Health Informatics,M,T,F,US,PA,Philadelphia,Health Information Management Department (College of Health Professions) an,http://chpsw.temple.edu/him/degrees-offered/master-science-health-informatics
University of Pittsburgh-Bradford,Master's Degree in Biomedical Informatics,M,T,F,US,PA,Bradford,Department of Biomedical Informatics,http://www.dbmi.pitt.edu/training-programs
University of Pittsburgh-Bradford,Master's Degree in Biostatistics,M,F,F,US,PA,Bradford,Graduate School of Public Health,http://www.publichealth.pitt.edu/Portals/0/BIOSTAT/BIOST%20MS%20Brochure.pdf
University of Pittsburgh-Pittsburgh Campus,MSIS - Big Data Analytics,M,T,T,US,PA,Pittsburgh,School of Information Sciences,http://www.ischool.pitt.edu/ist/degrees/specializations/big-data.php
Villanova University,Graduate Certificate in Applied Statistics,C,F,T,US,PA,Villanova,Liberal Arts and Sciences,http://www1.villanova.edu/content/dam/villanova/artsci/gradstudies/AppliedStatisticsGraduateInformationSheet.pdf
